PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
1.02,26.96930872,32.24,17.25,22.2,1379.2,24.737213
1.08,29.6064854,32.86,17.13,22.11,1379.2,24.92251676
1.11,30.97274678,32.94,17.15,22.15,1379.2,25.10247493
1.11,30.97274678,32.63,17.25,22.23,1379.2,25.3089082
1.1,30.51390792,32.18,17.41,22.43,1034.4,25.49493907
1.09,30.05847259,31.83,17.5,22.59,689.6,25.65866651
1.11,30.97274678,31.88,17.52,22.64,1034.4,25.8413589
1.21,35.73758281,32.46,17.5,22.62,1379.2,26.29531403
1.3,40.26842001,33.03,17.46,22.6,1379.2,26.70526364
1.38,44.4488865,33.4,17.5,22.6,1379.2,27.09601334
1.47,49.27348147,33.88,17.52,22.61,1379.2,27.49830893
